Lemma	Wordlist	Rank	SFI	U	D	F	Rank	Coverage	Cumulative					
reason	1 - NGSL	256	65.834	383.15	0.9781	"108,306"	268	0.0004	0.68					
form	1 - NGSL	257	65.785	378.90	0.8723	"118,310"	248	0.0004	0.67					
spend	1 - NGSL	258	65.776	378.08	0.9344	"111,208"	260	0.0004	0.68					
head	1 - NGSL	259	65.772	377.70	0.9099	"113,659"	256	0.0004	0.67					
car	1 - NGSL	260	65.765	377.14	0.9322	"111,161"	261	0.0004	0.68					
learn	1 - NGSL	261	65.741	375.05	0.9593	"107,823"	269	0.0004	0.68					
level	1 - NGSL	262	65.713	372.62	0.9340	"109,682"	263	0.0004	0.68					
person	1 - NGSL	263	65.656	367.83	0.9605	"105,653"	273	0.0004	0.68					
experience	1 - NGSL	264	65.627	365.35	0.9578	"105,178"	274	0.0004	0.68					
once	1 - NGSL	265	65.624	365.05	0.9714	"103,808"	281	0.0004	0.68					
member	1 - NGSL	266	65.612	364.08	0.9357	"107,019"	271	0.0004	0.68					
enough	1 - NGSL	267	65.600	363.11	0.9675	"103,617"	282	0.0004	0.68					
bad	1 - NGSL	268	65.594	362.62	0.9597	"104,222"	280	0.0004	0.68					
city	1 - NGSL	269	65.591	362.34	0.9087	"109,176"	264	0.0004	0.68					
night	1 - NGSL	270	65.580	361.41	0.9491	"104,889"	275	0.0004	0.68					
able	1 - NGSL	271	65.574	360.95	0.9787	"101,975"	289	0.0004	0.69					
support	1 - NGSL	272	65.549	358.85	0.9433	"104,730"	276	0.0004	0.68					
whether	1 - NGSL	273	65.548	358.75	0.9692	"102,251"	288	0.0004	0.69					
line	1 - NGSL	274	65.543	358.31	0.9773	"101,360"	291	0.0004	0.69					
present	1 - NGSL	275	65.541	358.14	0.8967	"109,149"	265	0.0004	0.68					
side	1 - NGSL	276	65.512	355.80	0.9798	"100,423"	294	0.0004	0.69					
quite	1 - NGSL	277	65.496	354.47	0.9328	"104,440"	279	0.0004	0.68					
although	1 - NGSL	278	65.456	351.22	0.9316	"103,555"	283	0.0004	0.68					
sure	1 - NGSL	279	65.448	350.62	0.9185	"104,725"	277	0.0004	0.68					
term	1 - NGSL	280	65.438	349.82	0.9373	"102,681"	286	0.0004	0.69					
least	1 - NGSL	281	65.437	349.73	0.9966	"97,250"	304	0.0004	0.69					
age	1 - NGSL	282	65.430	349.11	0.9321	"102,881"	285	0.0004	0.69					
low	1 - NGSL	283	65.428	348.97	0.9665	"99,673"	297	0.0004	0.69					
speak	1 - NGSL	284	65.417	348.10	0.9472	"101,200"	293	0.0004	0.69					
within	1 - NGSL	285	65.403	346.99	0.9195	"103,538"	284	0.0004	0.68					
process	1 - NGSL	286	65.396	346.44	0.8946	"105,883"	272	0.0004	0.68					
public	1 - NGSL	287	65.354	343.09	0.9535	"99,202"	299	0.0004	0.69					
often	1 - NGSL	288	65.329	341.09	0.9537	"98,556"	301	0.0004	0.69					
train	1 - NGSL	289	65.285	337.71	0.9236	"100,336"	295	0.0004	0.69					
possible	1 - NGSL	290	65.282	337.42	0.9560	"97,292"	303	0.0004	0.69					
actually	1 - NGSL	291	65.277	337.05	0.8225	"110,966"	262	0.0004	0.68					
rather	1 - NGSL	292	65.266	336.18	0.9710	"95,625"	308	0.0003	0.69					
view	1 - NGSL	293	65.258	335.58	0.9707	"95,493"	310	0.0003	0.69					
together	1 - NGSL	294	65.241	334.24	0.9933	"93,211"	314	0.0003	0.70					
consider	1 - NGSL	295	65.239	334.10	0.9543	"96,498"	306	0.0004	0.69					
price	1 - NGSL	296	65.143	326.81	0.8995	"99,449"	298	0.0004	0.69					
parent	1 - NGSL	297	65.136	326.28	0.9242	"96,866"	305	0.0004	0.69					
hard	1 - NGSL	298	65.125	325.45	0.9672	"92,907"	316	0.0003	0.70					
party	1 - NGSL	299	65.080	322.07	0.9787	"90,995"	321	0.0003	0.70					
local	1 - NGSL	300	65.064	320.94	0.9344	"94,431"	312	0.0003	0.69					
control	1 - NGSL	301	65.051	319.97	0.9188	"95,523"	309	0.0003	0.69					
already	1 - NGSL	302	65.021	317.75	0.9951	"88,474"	334	0.0003	0.70					
concern	1 - NGSL	303	65.016	317.36	0.9763	"89,863"	327	0.0003	0.70					
product	1 - NGSL	304	65.006	316.63	0.8486	"101,223"	292	0.0004	0.69					
